AMSG,AMSURG,"758,900",67.88,AMSG Chart
RARE,Ultragenyx Pharmaceutical Inc.,"755,400",59.3,RARE Chart
CALM,CAL-MAINE FOODS,"741,300",50.33,CALM Chart
LECO,LINCOLN ELECTRIC HOLDINGS,"716,200",55.83,LECO Chart
BNDX,Vanguard Total Intl Bd Idx ETF,"699,400",53.85,BNDX Chart
YY,YY,"699,000",52.93,YY Chart
IDXX,IDEX LABORATORIES,"667,600",71.53,IDXX Chart
ANSS,ANSYS,"631,900",85.38,ANSS Chart
MELI,MERCADOLIBRE,"626,600",97.31,MELI Chart
CBOE,CBOE HOLDINGS,"608,600",62.45,CBOE Chart
COLM,COLUMBIA SPORTSWEAR,"606,600",56.02,COLM Chart
ALGN,ALIGN TECH,"603,600",63.69,ALGN Chart
SAFM,SANDERSON FARMS,"603,300",85.86,SAFM Chart
LPNT,LIFEPOINT HOSPITALS,"575,500",64.62,LPNT Chart
STMP,STAMPS.COM,"570,400",98.07,STMP Chart
JCOM,J2 GLOBAL COMMUNICATIONS,"556,100",71.64,JCOM Chart
CTAS,CINTAS,"551,000",83.97,CTAS Chart
JKHY,HENRY JACK & ASSOCIATES,"550,000",80.85,JKHY Chart
SYNA,SYNAPTICS,"521,900",77.7,SYNA Chart
RYAAY,RYANAIR HOLDINGS,"517,000",80.94,RYAAY Chart
